,index,text,category,explanation
2837,2837,Nice.nice.how is it working?,ham,Inquiry about something's functionality.
2838,2838,1's reach home call me.,ham,Simple instruction to call upon arrival.
2839,2839,Were trying to find a Chinese food place around here,ham,Casual conversation about food.
2840,2840,"Easy mate, * guess the quick drink was bit ambitious.",ham,Casual remark about plans.
2841,2841,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,ham,Emotional message expressing love.
2842,2842,Ok thanx...,ham,Simple acknowledgment.
2843,2843,aathi..where are you dear..,ham,Casual inquiry about someone's location.
2844,2844,"Tunji, how's the queen? how are you doing. This is just wishing you a great day. Abiola.",ham,Friendly message wishing well.
2845,2845,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.,spam,Chain message promoting a gimmick.
2846,2846,Will be out of class in a few hours. Sorry,ham,Notification about being unavailable.
2847,2847,Wat time u finish ur lect today?,ham,Inquiry about schedule.
2848,2848,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam,Advertisement for ringtone service.
2849,2849,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,Humorous story about a surprise birthday.
2850,2850,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",spam,Promotional content for a reality show.
2851,2851,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,ham,Casual conversation with a friend.
2852,2852,Are you going to wipro interview today?,ham,Inquiring about a job interview.
2853,2853,how tall are you princess?,ham,Personal question in a friendly context.
2854,2854,I doubt you could handle 5 times per night in any case...,ham,Casual banter or joking.
2855,2855,Haha... Hope ü can hear the receipt sound... Gd luck!,ham,Friendly message wishing good luck.
2856,2856,Your gonna be the death if me. I'm gonna leave a note that says its all robs fault. Avenge me.,ham,Humorous or dramatic expression.
2857,2857,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",ham,Sharing a proverb or wisdom.
2858,2858,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ?,ham,Casual update about availability.
2859,2859,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,ham,Philosophical message about decision-making.
2860,2860,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",ham,Romantic or sentimental message.
2861,2861,I want to be there so i can kiss you and feel you next to me,ham,Expressing affection and desire.
2862,2862,I am not at all happy with what you saying or doing,ham,Expressing dissatisfaction or concern.
2863,2863,Adult 18 Content Your video will be with you shortly,spam,Adult content advertisement.
2864,2864,"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ?",ham,Planning a social outing.
2865,2865,What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,ham,Discussing communication with a third party.
2866,2866,He says hi and to get your ass back to south tampa (preferably at a kegger),ham,Casual message from a friend.
2867,2867,Smith waste da.i wanna gayle.,ham,Informal message possibly about a person.
2868,2868,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day.",ham,Checking in with family.
2869,2869,"Aight, tomorrow around  &lt;#&gt;  it is",ham,Confirming plans for tomorrow.
2870,2870,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",ham,Discussing a serious topic or event.
2871,2871,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",spam,Promotional content for a reality show.
2872,2872,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,ham,Casual conversation about sleep.
2873,2873,See you there!,ham,Confirming attendance at an event.
2874,2874,I dont understand your message.,ham,Seeking clarification on a message.
2875,2875,Crucify is c not s. You should have told me earlier.,ham,Correcting a misunderstanding.
2876,2876,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it.",ham,Expressing frustration and personal struggle.
2877,2877,Fuck cedar key and fuck her (come over anyway tho),ham,Expressing frustration but inviting someone over.
2878,2878,twenty past five he said will this train have been to durham already or not coz i am in a reserved seat,ham,Discussing travel plans.
2879,2879,"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam,Adult content advertisement.
2880,2880,U still painting ur wall?,ham,Casual inquiry about home improvement.
2881,2881,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",spam,Promotional message with urgency and subscription details.
2882,2882,Printer is cool. I mean groovy. Wine is groovying,ham,Casual conversation about printer and wine.
2883,2883,Hi Harish's rent has been transfred to ur Acnt.,ham,Informal message about a financial transaction.
2884,2884,Anything lor is she coming?,ham,Casual inquiry about someone's arrival.
2885,2885,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.,ham,Positive comment about a city's development.
2886,2886,Ü still attending da talks?,ham,Casual inquiry about attendance at talks.
2887,2887,No probs hon! How u doinat the mo?,ham,Friendly check-in on someone's well-being.
2888,2888,K I'll take care of it,ham,Confirmation of responsibility for a task.
2889,2889,I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,ham,Clarification about a missed phone call.
2890,2890,My battery is low babe,ham,Casual message about phone battery status.
2891,2891,Shuhui has bought ron's present it's a swatch watch...,ham,Informal update about a gift purchase.
2892,2892,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up",ham,Plan to meet up later.
2893,2893,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,ham,Concern about a delay in communication.
2894,2894,K I'll be sure to get up before noon and see what's what,ham,Plan to wake up and check things.
2895,2895,K...k...yesterday i was in cbe .,ham,Casual update about location.
2896,2896,Went to ganesh dress shop,ham,Informal statement about shopping.
2897,2897,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",spam,Promotional message about mobile offers.
2898,2898,Ü collecting ur laptop then going to configure da settings izzit?,ham,Inquiry about laptop collection and setup.
2899,2899,If you r @ home then come down within 5 min,ham,Invitation to come down quickly.
2900,2900,"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",ham,Planning arrival time and logistics.
2901,2901,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,ham,Informal message about cleaning.
2902,2902,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam,Financial spam message with instructions.
2903,2903,"Bill, as in: Are there any letters for me. i’m expecting one from orange that isn’t a bill but may still say orange on it.",ham,Inquiry about expected mail.
2904,2904,Tell me pa. How is pain de.,ham,Casual inquiry about someone's well-being.
2905,2905,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,spam,Explicit and inappropriate message.
2906,2906,"Ha. You don‘t know either. I did a a clever but simple thing with pears the other day, perfect for christmas.",ham,Casual conversation about cooking.
2907,2907,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",ham,Friendly morning greeting.
2908,2908,ALRITE,ham,Casual acknowledgment.
2909,2909,Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.,ham,Reflective thoughts on seasons.
2910,2910,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,spam,Promotional message with a prize claim.
2911,2911,How do you guys go to see movies on your side.,ham,Casual inquiry about movie-going.
2912,2912,"Sorry,in meeting I'll call later",ham,Normal response indicating unavailability.
2913,2913,You didn't have to tell me that...now i'm thinking. Plus he's going to stop all your runs,ham,Personal conversation reflecting thoughts.
2914,2914,Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,ham,Request for assistance at a location.
2915,2915,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,spam,Unsubscribe message with conditions.
2916,2916,Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,ham,Casual chat about boredom.
2917,2917,What time should I tell my friend to be around?,ham,Logistical question about meeting time.
2918,2918,Yes. that will be fine. Love you. Be safe.,ham,Affectionate message expressing care.
2919,2919,Thanks chikku..:-) gud nyt:-*,ham,Friendly goodnight message.
2920,2920,Is xy in ur car when u picking me up?,ham,Question about transportation.
2921,2921,"Thanx 4 the time we’ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",ham,Affectionate message expressing gratitude.
2922,2922,"Yo, any way we could pick something up tonight?",ham,Casual invitation to meet.
2923,2923,I've not sent it. He can send me.,ham,Clarification about sending something.
2924,2924,Fine am simply sitting.,ham,Casual update about current activity.
2925,2925,Thts god's gift for birds as humans hav some natural gift frm god..,ham,Philosophical statement about gifts.
2926,2926,Are you coming to day for class.,ham,Question about attending class.
2927,2927,Im done. Just studyn in library,ham,Update about studying status.
2928,2928,Ok... U enjoy ur shows...,ham,Casual response to someone's plans.
2929,2929,Anything...,ham,Open-ended response indicating willingness.
2930,2930,Where wuld I be without my baby? The thought alone mite break me and I don’t wanna go crazy but everyboy needs his lady xxxxxxxx,ham,Emotional expression about a loved one.
2931,2931,Wat's my dear doing? Sleeping ah?,ham,Casual inquiry about someone's activity.
2932,2932,Hi' Test on  &lt;#&gt; rd ....,ham,Informal message about a test.
2933,2933,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,ham,Academic inquiry about a question.
2934,2934,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,ham,Request for help in obtaining liquor.
2935,2935,Yup n her fren lor. I'm meeting my fren at 730.,ham,Confirmation of meeting plans.
2936,2936,"Yeah, we got one lined up for us",ham,Confirmation of plans.
2937,2937,"And stop wondering ""wow is she ever going to stop tm'ing me ?!"" because I will tm you whenever I want because you are MINE ... *laughs*",ham,Playful message about texting.
2938,2938,Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,ham,Casual update about a purchase.
2939,2939,Hey i've booked the pilates and yoga lesson already... Haha,ham,Informal message about booking a class.
2940,2940,Are you ok. What happen to behave like this,ham,Casual inquiry about someone's well-being.
2941,2941,You have 1 new message. Please call 08712400200.,spam,"Contains a prompt to call a number, typical of spam."
2942,2942,My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,ham,Informal message about a personal situation.
2943,2943,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3.",ham,Personal update about job status and plans.
2944,2944,No message..no responce..what happend?,ham,Concern about lack of communication.
2945,2945,We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam,Spam message prompting to call a number.
2946,2946,"Hey babe, sorry i didn't get sooner. Gary can come and fix it cause he thinks he knows what it is but he doesn't go as far a Ptbo and he says it will cost  &lt;#&gt;  bucks. I don't know if it might be cheaper to find someone there ? We don't have any second hand machines at all right now, let me know what you want to do babe",ham,Personal message discussing a repair situation.
2947,2947,make that 3! 4 fucks sake?! x,ham,Casual expression of frustration.
2948,2948,Leave it. U will always be ignorant.,ham,"Personal comment, likely in a conversation."
2949,2949,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),ham,Informal message about school plans.
2950,2950,at bruce b downs &amp; fletcher now,ham,"Location update, likely personal."
2951,2951,Where are you ? You said you would be here when I woke ... :-(,ham,Inquiry about someone's whereabouts.
2952,2952,Hey now am free you can call me.,ham,"Invitation for a call, personal context."
2953,2953,Tell me whos this pls:-),ham,"Request for identification, casual tone."
2954,2954,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam,Spam message claiming a prize.
2955,2955,"Think i might have to give it a miss. Am teaching til twelve, then have lecture at two. Damn this working thing.",ham,Personal message about schedule conflicts.
2956,2956,Id have to check but there's only like 1 bowls worth left,ham,Casual conversation about food.
2957,2957,Yes there were many sweets,ham,"Response about sweets, informal context."
2958,2958,I would but I'm still cozy. And exhausted from last night.nobody went to school or work. Everything is closed.,ham,Personal update about current situation.
2959,2959,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,Spam message about a secret admirer.
2960,2960,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,spam,"Inappropriate and suggestive content, spam."
2961,2961,Sir send to group mail check it.,ham,Instruction to check group mail.
2962,2962,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,ham,Academic update about a project.
2963,2963,NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT,ham,"Frustrated message, likely personal."
2964,2964,You dont know you jabo me abi.,ham,"Casual conversation, informal language."
2965,2965,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",ham,Philosophical observation about driving.
2966,2966,Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,ham,Casual conversation in a mix of languages.
2967,2967,"Are you being good, baby? :)",ham,Casual and affectionate inquiry.
2968,2968,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,spam,"Transaction notification, typical of spam."
2969,2969,"Mostly sports type..lyk footbl,crckt..",ham,Casual conversation about sports.
2970,2970,Ma head dey swell oh. Thanks for making my day,ham,Positive sentiment and gratitude expressed.
2971,2971,U should make a fb list,ham,Casual suggestion for social media.
2972,2972,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence..",ham,Humorous story about confidence.
2973,2973,Sary just need Tim in the bollox &it hurt him a lot so he tol me!,ham,Informal conversation about a friend's injury.
2974,2974,Happy New Year Princess!,ham,Festive greeting for New Year.
2975,2975,"I'll text carlos and let you know, hang on",ham,Casual communication about texting.
2976,2976,"Don't worry, * is easy once have ingredients!",ham,Reassurance about cooking.
2977,2977,I love u 2 my little pocy bell I am sorry but I love u,ham,Affectionate message expressing love.
2978,2978,"Ok omw now, you at castor?",ham,Casual check-in about location.
2979,2979,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,ham,Casual conversation about weather.
2980,2980,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",spam,Promotional message for mobile offers.
2981,2981,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,ham,Casual conversation about plans.
2982,2982,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",ham,Complimentary message to a friend.
2983,2983,"Tonight? Yeah, I'd be down for that",ham,Agreement to meet up.
2984,2984,What should i eat fo lunch senor,ham,Casual inquiry about lunch.
2985,2985,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for!",ham,Humorous comment about a friend's reaction.
2986,2986,No break time one... How... I come out n get my stuff fr ü?,ham,Casual inquiry about retrieving items.
2987,2987,Reply to win £100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,Promotional message for a contest.
2988,2988,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz",ham,Casual conversation about visibility.
2989,2989,Do you still have the grinder?,ham,Inquiry about an item.
2990,2990,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam,Promotional message for ringtones.
2991,2991,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",ham,Philosophical statement about love.
2992,2992,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,Adult content advertisement.
2993,2993,K.i did't see you.:)k:)where are you now?,ham,Casual inquiry about location.
2994,2994,So i'm doing a list of buyers.,ham,Informal update about tasks.
2995,2995,"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second",ham,Frustration about planning.
2996,2996,Mm not entirely sure i understood that text but hey. Ho. Which weekend?,ham,Casual conversation about plans.
2997,2997,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,ham,Humorous comment about a product.
2998,2998,Don know..he is watching film in computer..,ham,Casual update about someone's activity.
2999,2999,No b4 Thursday,ham,Casual response about timing.
3000,3000,"Oh, then your phone phoned me but it disconnected",ham,Casual conversation about a phone call.
3001,3001,Id onluy matters when getting on from offcampus,ham,Discussing importance of ID for campus access.
3002,3002,This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,Promotional message for adult content.
3003,3003,"Excellent, I'll see what riley's plans are",ham,Planning to check on someone's schedule.
3004,3004,I will see in half an hour,ham,Indicating a future meeting time.
3005,3005,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,Lottery scam message offering prizes.
3006,3006,Ew are you one of them?,ham,Expressing disapproval or surprise.
3007,3007,Also hi wesley how've you been,ham,Friendly greeting and inquiry about well-being.
3008,3008,Ah you see. You have to be in the lingo. I will let you know wot on earth it is when has finished making it!,ham,Discussing understanding of specific terminology.
3009,3009,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam,Loan advertisement targeting potential borrowers.
3010,3010,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,spam,Promotional message for mobile service.
3011,3011,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),ham,Playful message indicating presence.
3012,3012,"Hm good morning, headache anyone? :-)",ham,Casual morning greeting with a question.
3013,3013,Yeah no probs - last night is obviously catching up with you... Speak soon,ham,Casual conversation about last night.
3014,3014,FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam,Adult content promotion with subscription details.
3015,3015,I might go 2 sch. Yar at e salon now v boring.,ham,Casual update about plans.
3016,3016,&lt;#&gt;  mins but i had to stop somewhere first.,ham,Informal message about timing.
3017,3017,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year...",ham,Friendly message with multiple greetings.
3018,3018,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,ham,Positive message about caring.
3019,3019,I didn't get the second half of that message,ham,Indicating a communication issue.
3020,3020,Wat time do u wan 2 meet me later?,ham,Asking about meeting time.
3021,3021,I thank you so much for all you do with selflessness. I love you plenty.,ham,Expressing gratitude and affection.
3022,3022,Am in film ill call you later.,ham,Informing about being busy.
3023,3023,How dare you change my ring,ham,Expressing anger over a personal matter.
3024,3024,You are a very very very very bad girl. Or lady.,ham,Playful teasing or reprimanding.
3025,3025,I love ya too but try and budget your money better babe. Gary would freak on me if he knew,ham,Advice on budgeting in a caring tone.
3026,3026,"What part of ""don't initiate"" don't you understand",ham,Frustration over communication misunderstanding.
3027,3027,I finished my lunch already. U wake up already?,ham,Casual conversation about lunch.
3028,3028,You still at the game?,ham,Checking on someone's whereabouts.
3029,3029,You have got tallent but you are wasting.,ham,Encouraging someone to utilize their talent.
3030,3030,What is your record for one night? :),ham,"Casual conversation, not promotional."
3031,3031,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",ham,Informative message about a payment portal.
3032,3032,gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number.,ham,Personal message about plans.
3033,3033,Jokin only lar... :-) depends on which phone my father can get lor...,ham,Light-hearted personal conversation.
3034,3034,"Aight, lemme know what's up",ham,Casual check-in message.
3035,3035,Get ready for  &lt;#&gt;  inches of pleasure...,spam,"Suggestive content, likely promotional."
3036,3036,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham,Personal request for birthday wishes.
3037,3037,;-) ok. I feel like john lennon.,ham,Casual personal expression.
3038,3038,Cos darren say ü considering mah so i ask ü...,ham,Casual inquiry about someone's plans.
3039,3039,You are not bothering me but you have to trust my answers. Pls.,ham,Reassuring personal message.
3040,3040,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",ham,"Seasonal greeting, not promotional."
3041,3041,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,ham,"Story with a moral, personal touch."
3042,3042,Aight what time you want me to come up?,ham,Casual inquiry about meeting time.
3043,3043,Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?,ham,Playful personal message.
3044,3044,Your bill at 3 is £33.65 so thats not bad!,ham,Informative message about a bill.
3045,3045,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,ham,Informative message about health.
3046,3046,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",ham,Casual personal update.
3047,3047,So how's the weather over there?,ham,Casual inquiry about weather.
3048,3048,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!",ham,Personal update about boredom.
3049,3049,Die... Now i have e toot fringe again...,ham,Personal expression of frustration.
3050,3050,Lol they don't know about my awesome phone. I could click delete right now if I want.,ham,Casual personal comment.
3051,3051,Ok,ham,Simple acknowledgment.
3052,3052,"Awesome question with a cute answer: Someone asked a boy ""how is ur life?"" . . He smiled &amp; answered: . . ""She is fine!"" Gudnite",ham,Cute personal story.
3053,3053,Please leave this topic..sorry for telling that..,ham,Request to change conversation topic.
3054,3054,Pls send me the correct name da.,ham,Request for information.
3055,3055,What happened to our yo date?,ham,Inquiry about a planned meeting.
3056,3056,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,spam,Promotional quiz message.
3057,3057,Webpage s not available!,ham,Technical issue report.
3058,3058,Just woke up. Yeesh its late. But I didn't fall asleep til &lt;#&gt; am :/,ham,Personal update about sleep.
3059,3059,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam,Promotional unsubscribe message.
3060,3060,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",ham,Birthday message inviting participation.
3061,3061,K..k...from tomorrow onwards started ah?,ham,Casual conversation about plans.
3062,3062,What u talking bout early morning? It's almost noon where your at!,ham,Casual inquiry about conversation.
3063,3063,Fine. Do you remember me.,ham,Casual check-in with someone.
3064,3064,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",spam,Spam message with promotional content.
3065,3065,Ok. How many should i buy.,ham,Casual inquiry about purchasing.
3066,3066,"Sounds good, keep me posted",ham,Agreement and request for updates.
3067,3067,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,spam,Promotional spam message.
3068,3068,Ok. So april. Cant wait,ham,Excitement about future plans.
3069,3069,Boy you best get yo ass out here quick,ham,Casual urging to meet.
3070,3070,Ay wana meet on sat?ü wkg on sat?,ham,Casual invitation to meet.
3071,3071,I'm now but have to wait till 2 for the bus to pick me.,ham,Update on current situation.
3072,3072,Apart from the one i told you about yesterday?,ham,Reference to previous conversation.
3073,3073,Ok lor... But buy wat?,ham,Casual inquiry about purchases.
3074,3074,Somebody should go to andros and steal ice,ham,Casual suggestion among friends.
3075,3075,Don know. I did't msg him recently.,ham,Response about communication.
3076,3076,Take us out shopping and Mark will distract Isaiah.=D,ham,Casual plan involving friends.
3077,3077,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola",ham,Warm message to family.
3078,3078,There is no sense in my foot and penis.,ham,Casual expression of discomfort.
3079,3079,Okay but i thought you were the expert,ham,Casual conversation about expertise.
3080,3080,*deep sigh* ... I miss you :-( ... I am really surprised you haven't gone to the net cafe yet to get to me ... Don't you miss me?,ham,Expression of longing and surprise.
3081,3081,S.s:)i thinl role is like sachin.just standing. Others have to hit.,ham,Casual analogy in conversation.
3082,3082,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,ham,Well-wishing message for a trip.
3083,3083,"And very importantly, all we discuss is between u and i only.",ham,Emphasis on confidentiality.
3084,3084,K..k:)how about your training process?,ham,Inquiry about someone's training.
3085,3085,Ok lor. I ned 2 go toa payoh 4 a while 2 return smth u wan 2 send me there or wat?,ham,Casual message about errands.
3086,3086,In da car park,ham,Simple location update.
3087,3087,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,ham,Romantic expression of feelings.
3088,3088,So i asked how's anthony. Dad. And your bf,ham,Casual inquiry about others.
3089,3089,"Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-).",ham,Casual expression of love for books.
3090,3090,What Today-sunday..sunday is holiday..so no work..,ham,Casual conversation about a holiday.
3091,3091,Am going to take bath ill place the key in window:-),ham,Personal message about daily activities.
