text,category,explanation,rating,rating_reason,suggested_instruction
You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p,spam,Classic spam message about winning money.,4,Correct category based on clear explanation.,Identify classic spam phrases in messages.
"Yeah, don't go to bed, I'll be back before midnight",ham,Casual message about timing.,4,Correct category based on clear explanation.,Recognize casual timing messages.
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam,Promotional message for a holiday offer.,4,Correct category based on clear explanation.,Spot holiday promotions in messages.
Well I wasn't available as I washob nobbing with last night so they had to ask Nickey Platt instead of me!;,ham,Personal anecdote about availability.,4,Correct category based on clear explanation.,Identify personal anecdotes for classification.
"It's that time of the week again, ryan",ham,Casual reminder about a recurring event.,4,Correct category based on clear explanation.,Recognize reminders in casual conversations.
Wish u many many returns of the day.. Happy birthday vikky..,ham,"Birthday wishes, friendly message.",4,Correct category based on clear explanation.,Identify friendly greetings in messages.
"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.Idew.com SkillGame, 1Winaweek, age16. 150ppermessSubscription",spam,Spam message about winning vouchers.,4,Correct category based on clear explanation.,Spot winning offers in promotional messages.
I hope you know I'm still mad at you.,ham,Personal message expressing feelings.,4,Correct category based on clear explanation.,Identify emotional expressions in messages.
"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",ham,Discussion about research findings.,4,Correct category based on clear explanation.,Focus on research discussions for classification.
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),ham,Story about an exam situation.,4,Correct category based on clear explanation.,Identify storytelling elements in messages.
Do you know when the result.,ham,Inquiry about results.,4,Correct category based on clear explanation.,Recognize inquiries as non-promotional.
#ERROR!,ham,"Error message, not spam.",4,Correct category based on clear explanation.,Identify error messages as non-promotional.
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT",ham,"Philosophical message, not promotional.",4,Correct category based on clear explanation.,Spot philosophical content in messages.
"Sorry im getting up now, feel really bad- totally rejected that kinda me thing.",ham,Apology and personal feelings.,4,Correct category based on clear explanation.,Identify apologies in messages.
You do got a shitload of diamonds though,ham,Casual comment about possessions.,4,Correct category based on clear explanation.,Recognize casual comments in conversations.
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham,Request to convey birthday wishes.,4,Correct category based on clear explanation.,Identify requests in messages.
Well I'm going to be an aunty!,ham,Personal news about family.,4,Correct category based on clear explanation.,Spot personal news in conversations.
Mine here like all fr china then so noisy.,ham,Casual conversation about noise.,4,Correct category based on clear explanation.,Ensure clarity in casual conversations.
Later i guess. I needa do mcat study too.,ham,Discussing study plans.,4,Correct category based on clear explanation.,Clarify study-related discussions.
S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:),ham,Technical discussion about processes.,4,Correct category based on clear explanation.,Specify technical topics clearly.
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,spam,Promotional message with voucher.,4,Correct category based on clear explanation.,Identify promotional content effectively.
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham,Personal message about family matters.,4,Correct category based on clear explanation.,Clarify personal messages about family.
If he started searching he will get job in few days.he have great potential and talent.,ham,Encouragement regarding job search.,4,Correct category based on clear explanation.,Encourage clarity in job-related discussions.
"Carlos took a while (again), we leave in a minute",ham,Casual update about leaving.,4,Correct category based on clear explanation.,Keep updates concise and clear.
Well done and ! luv ya all,ham,Positive message to friends.,4,Correct category based on clear explanation.,Express positivity clearly in messages.
Then why you came to hostel.,ham,Question about someone's presence.,4,Correct category based on clear explanation.,Clarify inquiries about presence.
K still are you loving me.,ham,Personal relationship inquiry.,4,Correct category based on clear explanation.,Clarify relationship inquiries.
But i juz remembered i gotta bathe my dog today..,ham,Casual reminder about pet care.,4,Correct category based on clear explanation.,Specify reminders clearly.
After the drug she will be able to eat.,ham,Medical update about someone.,4,Correct category based on clear explanation.,Clarify medical updates.
Alright took the morphine. Back in yo.,ham,Casual update about medication.,4,Correct category based on clear explanation.,Keep medication updates clear.
You see the requirements please,ham,Request for information.,4,Correct category based on clear explanation.,Clarify requests for information.
You stayin out of trouble stranger!!saw Dave the other day he’s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!,ham,Friendly banter and updates.,4,Correct category based on clear explanation.,Maintain clarity in friendly banter.
FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,spam,Explicit promotional message.,4,Correct category based on clear explanation.,Identify explicit content effectively.
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam,Spam message about a holiday offer.,4,Correct category based on clear explanation.,Recognize spam offers clearly.
So can collect ur laptop?,ham,Inquiry about laptop collection.,4,Correct category based on clear explanation.,Clarify inquiries about items.
"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ham,Plan for meeting and drinks.,4,Correct category based on clear explanation.,Specify plans clearly.
I will once i get home,ham,Casual statement about future action.,4,Correct category based on clear explanation.,Clarify future actions.
Waaaat?? Lololo ok next time then!,ham,Casual response to a friend.,4,Correct category based on clear explanation.,Keep casual responses clear.
"The table's occupied, I'm waiting by the tree",ham,Update about location.,4,Correct category based on clear explanation.,Clarify location updates.
I surely dont forgot to come:)i will always be in touch in with you:-),ham,Reassurance of staying in touch.,4,Correct category based on clear explanation.,Express reassurance clearly.
Hi kindly give us back our documents which we submitted for loan from STAPATI,spam,Request for document return.,4,Correct category based on clear explanation.,Identify document requests clearly.
I dont have i shall buy one dear,ham,Casual conversation about buying.,4,Correct category based on clear explanation.,Clarify buying conversations.
Oh god i am happy to see your message after 3 days,ham,Expression of happiness about communication.,4,Correct category based on clear explanation.,Express happiness clearly.
What year. And how many miles.,ham,Inquiry about a vehicle.,4,Correct category based on clear explanation.,Clarify vehicle inquiries.
Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself.,ham,Casual greeting and update.,4,Correct category based on clear explanation.,Keep greetings casual and clear.
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham,Humorous personal story.,4,Correct category based on clear explanation.,Share humorous stories clearly.
I think you should go the honesty road. Call the bank tomorrow. Its the tough decisions that make us great people.,ham,Advice on making tough decisions.,4,Correct category based on clear explanation.,Provide advice clearly.
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+,spam,Promotional message for ringtone subscription.,4,Correct category based on clear explanation.,Ensure clear differentiation between promotional and personal messages.
No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.,ham,Casual conversation about work and labor.,4,Correct category based on clear explanation.,Encourage context understanding for better classification.
Is she replying. Has boye changed his phone number,ham,Inquiry about someone's communication.,4,Correct category based on clear explanation.,Focus on conversational context for accurate classification.
"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)",ham,Instructions for a fun texting trick.,4,Correct category based on clear explanation.,Clarify instructional content to avoid misclassification.
hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx,ham,Personal message about an accident and missing someone.,4,Correct category based on clear explanation.,Highlight emotional context in personal messages.
"Nothing really, just making sure everybody's up to speed",ham,Casual update on a situation.,4,Correct category based on clear explanation.,Emphasize clarity in casual updates.
I'm not coming home 4 dinner.,ham,Simple message about dinner plans.,4,Correct category based on clear explanation.,Ensure straightforward messages are easily classified.
"Thank you. And by the way, I just lost.",ham,Expression of gratitude and sharing a loss.,4,Correct category based on clear explanation.,Encourage emotional clarity in personal messages.
Yes.he have good crickiting mind,ham,Comment on someone's cricket knowledge.,4,Correct category based on clear explanation.,Clarify context in sports-related discussions.
Thx. All will be well in a few months,ham,Reassurance about future circumstances.,4,Correct category based on clear explanation.,Highlight supportive language in messages.
"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",spam,Promotional message for cash prizes.,4,Correct category based on clear explanation.,Differentiate between promotional and personal content.
"CAN I PLEASE COME UP NOW IMIN TOWN.DONTMATTER IF URGOIN OUTL8R,JUST REALLYNEED 2DOCD.PLEASE DONTPLEASE DONTIGNORE MYCALLS,U NO THECD ISV.IMPORTANT TOME 4 2MORO",ham,Urgent request for a meeting.,4,Correct category based on clear explanation.,Emphasize urgency in requests for better classification.
I wont. So wat's wit the guys,ham,Casual response about social dynamics.,4,Correct category based on clear explanation.,Clarify social context in conversations.
Yavnt tried yet and never played original either,ham,Discussion about trying something new.,4,Correct category based on clear explanation.,Encourage clarity in discussions about experiences.
"Hiya, had a good day? Have you spoken to since the weekend?",ham,Friendly check-in on someone's day.,4,Correct category based on clear explanation.,Highlight friendly tones in messages.
See? I thought it all through,ham,Confidence in a decision made.,4,Correct category based on clear explanation.,Encourage clarity in expressions of confidence.
I'm at work. Please call,ham,Notification of being busy at work.,4,Correct category based on clear explanation.,Highlight context of being busy in messages.
get ready to moan and scream :),ham,Light-hearted message about an upcoming event.,4,Correct category based on clear explanation.,Clarify tone in light-hearted messages.
Oh k :)why you got job then whats up?,ham,Casual inquiry about someone's job.,4,Correct category based on clear explanation.,Encourage clarity in casual inquiries.
"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",ham,Advice against going out late.,4,Correct category based on clear explanation.,Highlight advisory tones in messages.
And popping &lt;#&gt; ibuprofens was no help.,ham,Comment on ineffective pain relief.,4,Correct category based on clear explanation.,Clarify health-related discussions.
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",ham,Romantic message expressing affection.,4,Correct category based on clear explanation.,Highlight emotional context in romantic messages.
Ok.,ham,Simple acknowledgment.,4,Correct category based on clear explanation.,Ensure straightforward messages are easily classified.
PS U no ur a grown up now right?,ham,Playful reminder about maturity.,4,Correct category based on clear explanation.,Clarify playful tones in reminders.
"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...",ham,Discussion about food options.,4,Correct category based on clear explanation.,Encourage clarity in discussions about food.
I know a few people I can hit up and fuck to the yes,ham,Casual mention of social plans.,4,Correct category based on clear explanation.,Clarify social context in casual mentions.
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,ham,Philosophical take on friendship.,4,Correct category based on clear explanation.,Highlight philosophical tones in messages.
So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck,ham,Seeking guidance on a situation.,4,Correct category based on clear explanation.,Encourage clarity in requests for guidance.
Oh god. I'm gonna Google nearby cliffs now.,ham,Humorous comment about searching for cliffs.,4,Correct category based on clear explanation.,Highlight humor in casual comments.
FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,spam,Promotional message for camera phone rental.,4,Correct category based on clear explanation.,Differentiate between promotional and personal content.
Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?,ham,Casual conversation about schoolwork.,4,Correct category based on clear explanation.,Ensure clarity in casual conversations.
"Ooh, 4got, i'm gonna start belly dancing in moseley weds 6.30 if u want 2 join me, they have a cafe too.",ham,Invitation to a social activity.,4,Correct category based on clear explanation.,Encourage clear invitations in social messages.
Thankyou so much for the call. I appreciate your care.,ham,Expression of gratitude.,4,Correct category based on clear explanation.,Highlight expressions of gratitude.
Congrats ! Treat pending.i am not on mail for 2 days.will mail once thru.Respect mother at home.check mails.,ham,Congratulatory message with personal updates.,4,Correct category based on clear explanation.,Clarify personal updates in congratulatory messages.
I called but no one pick up e phone. I ask both of them already they said ok.,ham,Follow-up on a phone call.,4,Correct category based on clear explanation.,Encourage clarity in follow-up messages.
Hi my email address has changed now it is,ham,Notification of email change.,4,Correct category based on clear explanation.,Ensure clear notifications of changes.
"V-aluable. A-ffectionate. L-oveable. E-ternal. N-oble. T-ruthful. I-ntimate. N-atural. E-namous. Happy ""VALENTINES DAY"" in advance",ham,Valentine's Day greeting.,4,Correct category based on clear explanation.,Encourage clarity in holiday greetings.
"Not much, just some textin'. How bout you?",ham,Casual check-in conversation.,4,Correct category based on clear explanation.,Promote clarity in casual check-ins.
Bring it if you got it,ham,Casual challenge or invitation.,4,Correct category based on clear explanation.,Clarify casual challenges or invitations.
I'm in a movie. Call me 4 wat?,ham,Informal message about being busy.,4,Correct category based on clear explanation.,Encourage clarity in informal messages.
Not sure I have the stomach for it ...,ham,Personal expression of discomfort.,4,Correct category based on clear explanation.,Highlight personal expressions of discomfort.
Haha... can... But i'm having dinner with my cousin...,ham,Casual conversation about plans.,4,Correct category based on clear explanation.,Encourage clarity in casual plans.
"A boy was late 2 home. His father: ""POWER OF FRNDSHIP""",ham,Story or moral about friendship.,4,Correct category based on clear explanation.,Clarify stories or morals in messages.
"(And my man carlos is definitely coming by mu tonight, no excuses)",ham,Informal message about plans.,4,Correct category based on clear explanation.,Encourage clarity in informal plans.
soon you will have the real thing princess! Do i make you wet? :),spam,Inappropriate and suggestive content.,4,Correct category based on clear explanation.,Flag inappropriate content clearly.
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham,Request to convey birthday wishes.,4,Correct category based on clear explanation.,Encourage clarity in requests.
"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?",ham,Casual message about plans.,4,Correct category based on clear explanation.,Promote clarity in casual messages.
"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",spam,Classic spam message about a prize.,4,Correct category based on clear explanation.,Highlight classic spam characteristics.
Usually the body takes care of it buy making sure it doesnt progress. Can we pls continue this talk on saturday.,ham,Request to continue a conversation.,4,Correct category based on clear explanation.,Encourage clarity in conversation requests.
"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",spam,Spam message about a holiday prize.,4,Correct category based on clear explanation.,Flag spam messages clearly.
"Hmm well, night night",ham,Casual goodnight message.,4,Correct category based on clear explanation.,Encourage clarity in goodnight messages.
Just wanted to say holy shit you guys weren't kidding about this bud,ham,Casual expression of surprise.,4,Correct category based on clear explanation.,Highlight casual expressions of surprise.
"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",ham,Personal update about activities.,4,Correct category based on clear explanation.,Encourage clarity in personal updates.
"This is one of the days you have a billion classes, right?",ham,Casual inquiry about schedule.,4,Correct category based on clear explanation.,Promote clarity in inquiries.
"Goodmorning, today i am late for 2hrs. Because of back pain.",ham,Notification of being late.,4,Correct category based on clear explanation.,Encourage clarity in notifications.
Ok then i'll let him noe later n ask him call u tmr...,ham,Message about coordinating communication.,4,Correct category based on clear explanation.,Clarify messages about coordination.
Prabha..i'm soryda..realy..frm heart i'm sory,ham,Apology message.,4,Correct category based on clear explanation.,Highlight clarity in apology messages.
OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,ham,Offer to buy something.,4,Correct category based on clear explanation.,Encourage clarity in offers.
* Will have two more cartons off u and is very pleased with shelves,ham,Update about a transaction.,4,Correct category based on clear explanation.,Clarify transaction updates.
Nice talking to you! please dont forget my pix :) i want to see all of you...,ham,Friendly message about photos.,4,Correct category based on clear explanation.,Encourage clarity in friendly messages.
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,spam,Promotional message with a prize claim.,4,Correct category based on clear explanation.,Ensure clear identification of promotional language.
But really quite funny lor wat... Then u shd haf run shorter distance wat...,ham,Casual conversation with humor.,4,Correct category based on clear explanation.,Focus on context to identify casual conversations.
I notice you like looking in the shit mirror youre turning into a right freak,ham,"Informal comment, likely among friends.",4,Correct category based on clear explanation.,Identify informal language in friendly contexts.
Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,ham,Supportive and caring message.,4,Correct category based on clear explanation.,Look for supportive language in messages.
"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120",spam,Order confirmation with a charge.,4,Correct category based on clear explanation.,Identify transactional language in messages.
"I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...",ham,Casual discussion about availability.,4,Correct category based on clear explanation.,Focus on casual discussions about schedules.
Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,ham,Friendly invitation to meet.,4,Correct category based on clear explanation.,Identify friendly invitations in conversations.
If you have belive me. Come to my home.,ham,Direct invitation to visit.,4,Correct category based on clear explanation.,Look for direct invitations in messages.
Oh k.k..where did you take test?,ham,Casual inquiry about a test.,4,Correct category based on clear explanation.,Identify casual inquiries in conversations.
Those were my exact intentions,ham,Clarification of intentions.,4,Correct category based on clear explanation.,Focus on clarifications in conversations.
haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons,ham,Light-hearted conversation about plans.,4,Correct category based on clear explanation.,Identify light-hearted discussions in messages.
"Hey... Thk we juz go accordin to wat we discussed yest lor, except no kb on sun... Cos there's nt much lesson to go if we attend kb on sat...",ham,Planning based on previous discussion.,4,Correct category based on clear explanation.,Focus on planning language in conversations.
"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",ham,Invitation to visit with details.,4,Correct category based on clear explanation.,Identify detailed invitations in messages.
Nothing just getting msgs by dis name wit different no's..,ham,Comment about receiving messages.,4,Correct category based on clear explanation.,Look for comments about message experiences.
Good Morning plz call me sir,ham,Polite greeting and request.,4,Correct category based on clear explanation.,Identify polite greetings in messages.
What's your room number again? Wanna make sure I'm knocking on the right door,ham,Clarification for a visit.,4,Correct category based on clear explanation.,Focus on clarifications for visits.
"Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also bought\x94braindance\x94a comp.ofstuff on aphex\x92s ;abel,u hav2hear it!c u sn xxxx",ham,Discussion about music and recommendations.,4,Correct category based on clear explanation.,Identify discussions about interests in messages.
Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming,ham,Informing about a financial situation.,4,Correct category based on clear explanation.,Look for financial discussions in messages.
"Give her something to drink, if she takes it and doesn't vomit then you her temp might drop. If she unmits however let me know.",ham,Advice regarding health.,4,Correct category based on clear explanation.,Identify health-related advice in messages.
Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is,ham,Clarification about a text message.,4,Correct category based on clear explanation.,Focus on clarifications about message delivery.
Every day i use to sleep after  &lt;#&gt;  so only.,ham,Personal routine sharing.,4,Correct category based on clear explanation.,Identify personal sharing in messages.
K I'll call you when I'm close,ham,Confirmation of a call.,4,Correct category based on clear explanation.,Look for confirmations in conversations.
U buy newspapers already?,ham,Casual inquiry about newspaper.,4,Correct category based on clear explanation.,Identify casual inquiries in messages.
Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.,ham,Casual conversation about daily activities.,4,Correct category based on clear explanation.,Focus on casual conversations about daily life.
Boo I'm on my way to my moms. She's making tortilla soup. Yummmm,ham,Friendly message about food.,4,Correct category based on clear explanation.,Identify friendly messages about food.
No management puzzeles.,ham,Comment about work or tasks.,4,Correct category based on clear explanation.,Look for comments about work in messages.
How did you find out in a way that didn't include all of these details,ham,Inquiry about information source.,4,Correct category based on clear explanation.,Identify inquiries about information in messages.
"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",spam,Warning about potential scam.,4,Correct category based on clear explanation.,Ensure clear identification of scam warnings.
Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,spam,Sexual content with premium rate number.,4,Correct category based on clear explanation.,Identify sexual content in messages.
will you like to be spoiled? :),ham,Flirtatious and light-hearted message.,4,Correct category based on clear explanation.,Look for flirtatious language in messages.
"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154",spam,Promotional message about ringtone order.,4,Correct category based on clear explanation.,Clarify promotional content in messages.
I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,ham,Official complaint message regarding threats.,4,Correct category based on clear explanation.,Ensure clarity in complaint-related messages.
hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,ham,Casual conversation about personal matters.,4,Correct category based on clear explanation.,Encourage casual tone in personal messages.
Den wat will e schedule b lk on sun?,ham,"Inquiry about schedule, casual communication.",4,Correct category based on clear explanation.,Maintain clarity in scheduling inquiries.
Lol enjoy role playing much?,ham,"Light-hearted conversation, no spam.",4,Correct category based on clear explanation.,Foster light-hearted exchanges in conversations.
Ok. Me watching tv too.,ham,Casual response about watching TV.,4,Correct category based on clear explanation.,Encourage casual responses in chats.
"I just lov this line: ""Hurt me with the truth, I don’t mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams",ham,"Personal message with a quote, not spam.",4,Correct category based on clear explanation.,Promote sharing of personal sentiments.
"Just checked out, heading out to drop off my stuff now",ham,Casual update about personal activities.,4,Correct category based on clear explanation.,Encourage updates on personal activities.
Here got lots of hair dresser fr china.,ham,Informal message about hairdressers.,4,Correct category based on clear explanation.,Support informal sharing of local services.
Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,ham,"Personal story, emotional content.",4,Correct category based on clear explanation.,Encourage sharing of personal stories.
Ill call you evening ill some ideas.,ham,Casual message about calling later.,4,Correct category based on clear explanation.,Promote casual communication about plans.
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,spam,Promotional message for subscription service.,4,Correct category based on clear explanation.,Clarify promotional content in messages.
Did you show him and wot did he say or could u not c him 4 dust?,ham,Casual inquiry about a meeting.,4,Correct category based on clear explanation.,Encourage casual inquiries in conversations.
It should take about  &lt;#&gt;  min,ham,Informal message about time estimation.,4,Correct category based on clear explanation.,Support informal communication about time.
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam,Explicit content and promotional message.,4,Correct category based on clear explanation.,Flag explicit content in messages.
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,ham,Casual update about travel plans.,4,Correct category based on clear explanation.,Encourage updates on travel plans.
I cant pick the phone right now. Pls send a message,ham,Request for messages instead of calls.,4,Correct category based on clear explanation.,Promote preference for messages over calls.
<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com,spam,Promotional message for a competition.,4,Correct category based on clear explanation.,Clarify promotional content in messages.
Finish liao... U?,ham,"Casual conversation, checking in.",4,Correct category based on clear explanation.,Encourage casual check-ins in conversations.
88066 FROM 88066 LOST 3POUND HELP,ham,Request for help regarding lost money.,4,Correct category based on clear explanation.,Support requests for assistance.
Haha i think i did too,ham,"Light-hearted response, casual conversation.",4,Correct category based on clear explanation.,Encourage light-hearted exchanges.
U know we watchin at lido?,ham,Casual message about watching something.,4,Correct category based on clear explanation.,Promote casual discussions about activities.
Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,ham,Philosophical message about love.,4,Correct category based on clear explanation.,Encourage sharing of philosophical thoughts.
"Haha awesome, I've been to 4u a couple times. Who all's coming?",ham,Casual conversation about plans.,4,Correct category based on clear explanation.,Promote casual planning discussions.
Cold. Dont be sad dear,ham,"Supportive message, casual tone.",4,Correct category based on clear explanation.,Encourage supportive messages.
Think I could stop by in like an hour or so? My roommate's looking to stock up for a trip,ham,Casual inquiry about visiting.,4,Correct category based on clear explanation.,Support casual visit inquiries.
Is that on the telly? No its Brdget Jones!,ham,Casual conversation about a movie.,4,Correct category based on clear explanation.,Encourage discussions about entertainment.
Love you aathi..love u lot..,ham,"Affectionate message, personal.",4,Correct category based on clear explanation.,Promote affectionate communication.
Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/,ham,"Casual check-in, expressing boredom.",4,Correct category based on clear explanation.,Encourage casual check-ins and sharing.
Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,ham,Informative message about housing options.,4,Correct category based on clear explanation.,Support sharing of informative content.
"Sorry, I'll call later in meeting",ham,Casual message about a meeting.,4,Correct category based on clear explanation.,Ensure clarity in casual messages.
R ü comin back for dinner?,ham,Inquiry about dinner plans.,4,Correct category based on clear explanation.,Clarify intent in casual inquiries.
"I hav almost reached. Call, i m unable to connect u.",ham,Update on arrival status.,4,Correct category based on clear explanation.,Provide clear updates in messages.
Whom you waited for yesterday,ham,Question about past event.,4,Correct category based on clear explanation.,Be specific in questions about events.
I reach home safe n sound liao...,ham,Informing about safe arrival.,4,Correct category based on clear explanation.,Use clear language for safety updates.
"Velly good, yes please!",ham,Positive response to a suggestion.,4,Correct category based on clear explanation.,Express positivity clearly in responses.
"Hi, wkend ok but journey terrible. Wk not good as have huge back log of marking to do",ham,Sharing personal weekend experience.,4,Correct category based on clear explanation.,Share experiences clearly and concisely.
I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,ham,Informing about letters received.,4,Correct category based on clear explanation.,Clarify details in correspondence updates.
Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8,ham,Discussing a potential connection.,4,Correct category based on clear explanation.,Be clear when discussing connections.
Dont you have message offer,ham,Question about message offers.,4,Correct category based on clear explanation.,Clarify inquiries about offers.
Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,spam,Promotional message for mobile updates.,4,Correct category based on clear explanation.,Identify promotional content clearly.
"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",ham,Casual greeting and invitation.,4,Correct category based on clear explanation.,Maintain clarity in casual greetings.
Remind me how to get there and I shall do so,ham,Request for directions.,4,Correct category based on clear explanation.,Be specific in requests for directions.
:-( that's not v romantic!,ham,Comment on a romantic situation.,4,Correct category based on clear explanation.,Express feelings clearly in comments.
